
                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021a (9.10.0.1602886) 64-bit (glnxa64)
                             February 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> r: 10 , alpha: 0.0010 , beta: 0.0010 ,current acc: 0.2367, the best acc: 0.2367 
r: 10 , alpha: 0.0010 , beta: 0.0039 ,current acc: 0.2267, the best acc: 0.2367 
r: 10 , alpha: 0.0010 , beta: 0.0156 ,current acc: 0.2233, the best acc: 0.2367 
r: 10 , alpha: 0.0010 , beta: 0.0625 ,current acc: 0.2367, the best acc: 0.2367 
r: 10 , alpha: 0.0010 , beta: 0.2500 ,current acc: 0.2267, the best acc: 0.2367 
r: 10 , alpha: 0.0010 , beta: 1.0000 ,current acc: 0.2433, the best acc: 0.2433 
r: 10 , alpha: 0.0010 , beta: 4.0000 ,current acc: 0.2800, the best acc: 0.2800 
r: 10 , alpha: 0.0010 , beta: 16.0000 ,current acc: 0.2567, the best acc: 0.2800 
r: 10 , alpha: 0.0010 , beta: 64.0000 ,current acc: 0.2533, the best acc: 0.2800 
r: 10 , alpha: 0.0010 , beta: 256.0000 ,current acc: 0.2367, the best acc: 0.2800 
r: 10 , alpha: 0.0010 , beta: 1024.0000 ,current acc: 0.2400, the best acc: 0.2800 
r: 10 , alpha: 0.0039 , beta: 0.0010 ,current acc: 0.2300, the best acc: 0.2800 
r: 10 , alpha: 0.0039 , beta: 0.0039 ,current acc: 0.2467, the best acc: 0.2800 
r: 10 , alpha: 0.0039 , beta: 0.0156 ,current acc: 0.2367, the best acc: 0.2800 
r: 10 , alpha: 0.0039 , beta: 0.0625 ,current acc: 0.2467, the best acc: 0.2800 
r: 10 , alpha: 0.0039 , beta: 0.2500 ,current acc: 0.2367, the best acc: 0.2800 
r: 10 , alpha: 0.0039 , beta: 1.0000 ,current acc: 0.2400, the best acc: 0.2800 
r: 10 , alpha: 0.0039 , beta: 4.0000 ,current acc: 0.2633, the best acc: 0.2800 
r: 10 , alpha: 0.0039 , beta: 16.0000 ,current acc: 0.2633, the best acc: 0.2800 
r: 10 , alpha: 0.0039 , beta: 64.0000 ,current acc: 0.2533, the best acc: 0.2800 
r: 10 , alpha: 0.0039 , beta: 256.0000 ,current acc: 0.2433, the best acc: 0.2800 
r: 10 , alpha: 0.0039 , beta: 1024.0000 ,current acc: 0.2367, the best acc: 0.2800 
r: 10 , alpha: 0.0156 , beta: 0.0010 ,current acc: 0.2367, the best acc: 0.2800 
r: 10 , alpha: 0.0156 , beta: 0.0039 ,current acc: 0.2267, the best acc: 0.2800 
r: 10 , alpha: 0.0156 , beta: 0.0156 ,current acc: 0.2333, the best acc: 0.2800 
r: 10 , alpha: 0.0156 , beta: 0.0625 ,current acc: 0.2400, the best acc: 0.2800 
r: 10 , alpha: 0.0156 , beta: 0.2500 ,current acc: 0.2367, the best acc: 0.2800 
r: 10 , alpha: 0.0156 , beta: 1.0000 ,current acc: 0.2433, the best acc: 0.2800 
r: 10 , alpha: 0.0156 , beta: 4.0000 ,current acc: 0.2600, the best acc: 0.2800 
r: 10 , alpha: 0.0156 , beta: 16.0000 ,current acc: 0.2467, the best acc: 0.2800 
r: 10 , alpha: 0.0156 , beta: 64.0000 ,current acc: 0.2467, the best acc: 0.2800 
r: 10 , alpha: 0.0156 , beta: 256.0000 ,current acc: 0.2367, the best acc: 0.2800 
r: 10 , alpha: 0.0156 , beta: 1024.0000 ,current acc: 0.2667, the best acc: 0.2800 
r: 10 , alpha: 0.0625 , beta: 0.0010 ,current acc: 0.2400, the best acc: 0.2800 
r: 10 , alpha: 0.0625 , beta: 0.0039 ,current acc: 0.2267, the best acc: 0.2800 
r: 10 , alpha: 0.0625 , beta: 0.0156 ,current acc: 0.2467, the best acc: 0.2800 
r: 10 , alpha: 0.0625 , beta: 0.0625 ,current acc: 0.2300, the best acc: 0.2800 
r: 10 , alpha: 0.0625 , beta: 0.2500 ,current acc: 0.2300, the best acc: 0.2800 
r: 10 , alpha: 0.0625 , beta: 1.0000 ,current acc: 0.2433, the best acc: 0.2800 
r: 10 , alpha: 0.0625 , beta: 4.0000 ,current acc: 0.2833, the best acc: 0.2833 
r: 10 , alpha: 0.0625 , beta: 16.0000 ,current acc: 0.2567, the best acc: 0.2833 
r: 10 , alpha: 0.0625 , beta: 64.0000 ,current acc: 0.2367, the best acc: 0.2833 
r: 10 , alpha: 0.0625 , beta: 256.0000 ,current acc: 0.2600, the best acc: 0.2833 
r: 10 , alpha: 0.0625 , beta: 1024.0000 ,current acc: 0.2600, the best acc: 0.2833 
r: 10 , alpha: 0.2500 , beta: 0.0010 ,current acc: 0.2333, the best acc: 0.2833 
r: 10 , alpha: 0.2500 , beta: 0.0039 ,current acc: 0.2333, the best acc: 0.2833 
r: 10 , alpha: 0.2500 , beta: 0.0156 ,current acc: 0.2533, the best acc: 0.2833 
r: 10 , alpha: 0.2500 , beta: 0.0625 ,current acc: 0.2333, the best acc: 0.2833 
r: 10 , alpha: 0.2500 , beta: 0.2500 ,current acc: 0.2500, the best acc: 0.2833 
r: 10 , alpha: 0.2500 , beta: 1.0000 ,current acc: 0.2667, the best acc: 0.2833 
r: 10 , alpha: 0.2500 , beta: 4.0000 ,current acc: 0.2800, the best acc: 0.2833 
r: 10 , alpha: 0.2500 , beta: 16.0000 ,current acc: 0.2433, the best acc: 0.2833 
r: 10 , alpha: 0.2500 , beta: 64.0000 ,current acc: 0.2533, the best acc: 0.2833 
r: 10 , alpha: 0.2500 , beta: 256.0000 ,current acc: 0.2700, the best acc: 0.2833 
r: 10 , alpha: 0.2500 , beta: 1024.0000 ,current acc: 0.2667, the best acc: 0.2833 
r: 10 , alpha: 1.0000 , beta: 0.0010 ,current acc: 0.2167, the best acc: 0.2833 
r: 10 , alpha: 1.0000 , beta: 0.0039 ,current acc: 0.2300, the best acc: 0.2833 
r: 10 , alpha: 1.0000 , beta: 0.0156 ,current acc: 0.2800, the best acc: 0.2833 
r: 10 , alpha: 1.0000 , beta: 0.0625 ,current acc: 0.2233, the best acc: 0.2833 
r: 10 , alpha: 1.0000 , beta: 0.2500 ,current acc: 0.2433, the best acc: 0.2833 
r: 10 , alpha: 1.0000 , beta: 1.0000 ,current acc: 0.2400, the best acc: 0.2833 
r: 10 , alpha: 1.0000 , beta: 4.0000 ,current acc: 0.2600, the best acc: 0.2833 
r: 10 , alpha: 1.0000 , beta: 16.0000 ,current acc: 0.2500, the best acc: 0.2833 
r: 10 , alpha: 1.0000 , beta: 64.0000 ,current acc: 0.2433, the best acc: 0.2833 
r: 10 , alpha: 1.0000 , beta: 256.0000 ,current acc: 0.2733, the best acc: 0.2833 
r: 10 , alpha: 1.0000 , beta: 1024.0000 ,current acc: 0.2433, the best acc: 0.2833 
r: 10 , alpha: 4.0000 , beta: 0.0010 ,current acc: 0.2333, the best acc: 0.2833 
r: 10 , alpha: 4.0000 , beta: 0.0039 ,current acc: 0.2367, the best acc: 0.2833 
r: 10 , alpha: 4.0000 , beta: 0.0156 ,current acc: 0.2367, the best acc: 0.2833 
r: 10 , alpha: 4.0000 , beta: 0.0625 ,current acc: 0.2633, the best acc: 0.2833 
r: 10 , alpha: 4.0000 , beta: 0.2500 ,current acc: 0.2267, the best acc: 0.2833 
r: 10 , alpha: 4.0000 , beta: 1.0000 ,current acc: 0.2500, the best acc: 0.2833 
r: 10 , alpha: 4.0000 , beta: 4.0000 ,current acc: 0.2767, the best acc: 0.2833 
r: 10 , alpha: 4.0000 , beta: 16.0000 ,current acc: 0.2567, the best acc: 0.2833 
r: 10 , alpha: 4.0000 , beta: 64.0000 ,current acc: 0.2433, the best acc: 0.2833 
r: 10 , alpha: 4.0000 , beta: 256.0000 ,current acc: 0.2533, the best acc: 0.2833 
r: 10 , alpha: 4.0000 , beta: 1024.0000 ,current acc: 0.2567, the best acc: 0.2833 
r: 10 , alpha: 16.0000 , beta: 0.0010 ,current acc: 0.2100, the best acc: 0.2833 
r: 10 , alpha: 16.0000 , beta: 0.0039 ,current acc: 0.2367, the best acc: 0.2833 
r: 10 , alpha: 16.0000 , beta: 0.0156 ,current acc: 0.2233, the best acc: 0.2833 
r: 10 , alpha: 16.0000 , beta: 0.0625 ,current acc: 0.2500, the best acc: 0.2833 
r: 10 , alpha: 16.0000 , beta: 0.2500 ,current acc: 0.2567, the best acc: 0.2833 
r: 10 , alpha: 16.0000 , beta: 1.0000 ,current acc: 0.2367, the best acc: 0.2833 
r: 10 , alpha: 16.0000 , beta: 4.0000 ,current acc: 0.2467, the best acc: 0.2833 
r: 10 , alpha: 16.0000 , beta: 16.0000 ,current acc: 0.2367, the best acc: 0.2833 
r: 10 , alpha: 16.0000 , beta: 64.0000 ,current acc: 0.2300, the best acc: 0.2833 
r: 10 , alpha: 16.0000 , beta: 256.0000 ,current acc: 0.2533, the best acc: 0.2833 
r: 10 , alpha: 16.0000 , beta: 1024.0000 ,current acc: 0.2400, the best acc: 0.2833 
r: 10 , alpha: 64.0000 , beta: 0.0010 ,current acc: 0.2467, the best acc: 0.2833 
r: 10 , alpha: 64.0000 , beta: 0.0039 ,current acc: 0.2200, the best acc: 0.2833 
r: 10 , alpha: 64.0000 , beta: 0.0156 ,current acc: 0.2433, the best acc: 0.2833 
r: 10 , alpha: 64.0000 , beta: 0.0625 ,current acc: 0.2200, the best acc: 0.2833 
r: 10 , alpha: 64.0000 , beta: 0.2500 ,current acc: 0.2333, the best acc: 0.2833 
r: 10 , alpha: 64.0000 , beta: 1.0000 ,current acc: 0.2567, the best acc: 0.2833 
r: 10 , alpha: 64.0000 , beta: 4.0000 ,current acc: 0.2367, the best acc: 0.2833 
r: 10 , alpha: 64.0000 , beta: 16.0000 ,current acc: 0.2433, the best acc: 0.2833 
r: 10 , alpha: 64.0000 , beta: 64.0000 ,current acc: 0.2600, the best acc: 0.2833 
r: 10 , alpha: 64.0000 , beta: 256.0000 ,current acc: 0.2667, the best acc: 0.2833 
r: 10 , alpha: 64.0000 , beta: 1024.0000 ,current acc: 0.2433, the best acc: 0.2833 
r: 10 , alpha: 256.0000 , beta: 0.0010 ,current acc: 0.2433, the best acc: 0.2833 
r: 10 , alpha: 256.0000 , beta: 0.0039 ,current acc: 0.2467, the best acc: 0.2833 
r: 10 , alpha: 256.0000 , beta: 0.0156 ,current acc: 0.2233, the best acc: 0.2833 
r: 10 , alpha: 256.0000 , beta: 0.0625 ,current acc: 0.2300, the best acc: 0.2833 
